JOB,INDEX,Name,Effect
Mage,1,파이어볼,강한 단일 공격(화상)
Mage,2,블리자드,광역 공격
Mage,3,정신집중,mp회복
Mage,4,블랙홀,광역 공격
Archer,5,화살쏘기,기본공격
Archer,6,독화살,적중시 독 디버프
Archer,7,뒤구르기,회피율 증가
Archer,8,헤드샷,기본공격의 2배 데미지. 치명타 시 3배
Archer,9,애로우해일,광역 공격
Babarian,10,강타,기본공격
Babarian,11,난타,2번 공격
Babarian,12,가드깨기,단일 방어 무시 공격
Babarian,13,분노,자신의 공격력 업
Babarian,14,최후의 일격,적의 체력이 40%이하 시 추가데미지
Knight,15,대검 휘두르기,기본공격
Knight,16,패링,공격력 증가
Knight,17,가다듬기,"체력, 방어력 증가"
Knight,18,선두지휘,"아군 공격력, 명중률 증가"
Knight,19,심판,광역 공격
Barristan,20,망치찍기,기본공격
Barristan,21,방패올리기,방어력 증가
Barristan,22,방패밀치기,스턴?
Barristan,23,도발,보호
Barristan,24,고양,아군 회피율 증가
Porter,25,포션던지기,기본공격
Porter,26,연막탄뿌리기,적 전체 명중률 저하
Porter,27,포츈코인,"50%버프, 50%디버프 (본인 체력)"
Porter,28,프랜드실드,대신 맞기 (팀원이)
Porter,29,도망가기,이번 원정서 1번만 전투에서 제외될 수 있음
Mage,30,매직애로우,기본 공격
